克拉斯沃特（三分熟） | 游击队----'Medium Rare' Crasswater | Guerrilla Warfare----95.9----526----526
AK-47 | 抽象派 1337 (略有磨损)----AK-47 | Leet Museo (Minimal Wear)----248.0----523----523
AK-47 | 阿努比斯军团 (崭新出厂)----AK-47 | Legion of Anubis (Factory New)----92.2----1000----1000
AK-47 | 阿努比斯军团 (久经沙场)----AK-47 | Legion of Anubis (Field-Tested)----34.33----1000----1000
AK-47 | 阿努比斯军团 (略有磨损)----AK-47 | Legion of Anubis (Minimal Wear)----51.38----1000----1000
AK-47 | 霓虹革命 (久经沙场)----AK-47 | Neon Revolution (Field-Tested)----97.0----1000----1000
AK-47 | 霓虹革命 (略有磨损)----AK-47 | Neon Revolution (Minimal Wear)----224.94----620----620
AK-47 | 霓虹骑士 (久经沙场)----AK-47 | Neon Rider (Field-Tested)----294.33----874----874
AK-47 | 夜愿 (战痕累累)----AK-47 | Nightwish (Battle-Scarred)----27.8----858----858
AK-47 | 夜愿 (崭新出厂)----AK-47 | Nightwish (Factory New)----364.44----741----741
AK-47 | 夜愿 (久经沙场)----AK-47 | Nightwish (Field-Tested)----53.1----1000----1000
AK-47 | 夜愿 (略有磨损)----AK-47 | Nightwish (Minimal Wear)----115.0----1000----1000
AK-47 | 夜愿 (破损不堪)----AK-47 | Nightwish (Well-Worn)----39.0----699----699
AK-47 | 轨道 Mk01 (久经沙场)----AK-47 | Orbit Mk01 (Field-Tested)----75.0----523----523
AK-47 | 轨道 Mk01 (略有磨损)----AK-47 | Orbit Mk01 (Minimal Wear)----91.99----605----605
AK-47 | 幻影破坏者 (崭新出厂)----AK-47 | Phantom Disruptor (Factory New)----61.9----989----989
AK-47 | 幻影破坏者 (久经沙场)----AK-47 | Phantom Disruptor (Field-Tested)----23.0----1000----1000
AK-47 | 幻影破坏者 (略有磨损)----AK-47 | Phantom Disruptor (Minimal Wear)----35.78----1000----1000
AK-47 | 混沌点阵 (崭新出厂)----AK-47 | Point Disarray (Factory New)----210.0----531----531
AK-47 | 混沌点阵 (久经沙场)----AK-47 | Point Disarray (Field-Tested)----53.8----1000----1000
AK-47 | 混沌点阵 (略有磨损)----AK-47 | Point Disarray (Minimal Wear)----95.0----1000----1000
AK-47 | 复古浪潮 (久经沙场)----AK-47 | Rat Rod (Field-Tested)----19.27----808----808
AK-47 | 红线 (久经沙场)----AK-47 | Redline (Field-Tested)----137.0----1000----1000
AK-47 | 红线 (略有磨损)----AK-47 | Redline (Minimal Wear)----708.0----1000----1000
AK-47 | 狩猎网格 (略有磨损)----AK-47 | Safari Mesh (Minimal Wear)----1.13----1000----1000
AK-47 | 安全网 (崭新出厂)----AK-47 | Safety Net (Factory New)----34.3----980----980
AK-47 | 安全网 (久经沙场)----AK-47 | Safety Net (Field-Tested)----14.35----903----903
AK-47 | 墨岩 (战痕累累)----AK-47 | Slate (Battle-Scarred)----14.2----1000----1000
AK-47 | 墨岩 (崭新出厂)----AK-47 | Slate (Factory New)----60.0----1000----1000
AK-47 | 墨岩 (久经沙场)----AK-47 | Slate (Field-Tested)----17.22----1000----1000
AK-47 | 墨岩 (略有磨损)----AK-47 | Slate (Minimal Wear)----29.0----1000----1000
AK-47 | 墨岩 (破损不堪)----AK-47 | Slate (Well-Worn)----14.6----1000----1000
AK-47 | 钢铁三角洲 (崭新出厂)----AK-47 | Steel Delta (Factory New)----14.87----877----877
AK-47 | 钢铁三角洲 (久经沙场)----AK-47 | Steel Delta (Field-Tested)----7.78----806----806
AK-47 | 钢铁三角洲 (略有磨损)----AK-47 | Steel Delta (Minimal Wear)----10.3----660----660
AK-47 | 皇后 (久经沙场)----AK-47 | The Empress (Field-Tested)----210.0----1000----1000
AK-47 | 皇后 (略有磨损)----AK-47 | The Empress (Minimal Wear)----397.0----1000----1000
AK-47 | 迷踪秘境 (崭新出厂)----AK-47 | Uncharted (Factory New)----6.8----881----881
AK-47 | 迷踪秘境 (久经沙场)----AK-47 | Uncharted (Field-Tested)----1.97----1000----1000
AK-47 | 迷踪秘境 (略有磨损)----AK-47 | Uncharted (Minimal Wear)----3.1----1000----1000
AK-47 | 火神 (崭新出厂)----AK-47 | Vulcan (Factory New)----4996.0----1000----1000
AK-47 | 火神 (久经沙场)----AK-47 | Vulcan (Field-Tested)----1483.0----1000----1000
AK-47 | 火神 (略有磨损)----AK-47 | Vulcan (Minimal Wear)----3029.5----1000----1000
AUG | 极地孤狼 (久经沙场)----AUG | Arctic Wolf (Field-Tested)----10.35----512----512
AUG | 璞玉 (崭新出厂)----AUG | Carved Jade (Factory New)----93.0----692----692
AUG | 变色龙 (崭新出厂)----AUG | Chameleon (Factory New)----25.0----612----612
AUG | 变色龙 (略有磨损)----AUG | Chameleon (Minimal Wear)----16.5----566----566
AUG | 动量 (久经沙场)----AUG | Momentum (Field-Tested)----9.69----861----861
AUG | 弹跳线条 (略有磨损)----AUG | Ricochet (Minimal Wear)----1.7----533----533
AUG | 湖怪鸟 (久经沙场)----AUG | Stymphalian (Field-Tested)----7.7----616----616
AUG | 席德.米德 (久经沙场)----AUG | Syd Mead (Field-Tested)----10.06----555----555
AWP | 冥界之河 (战痕累累)----AWP | Acheron (Battle-Scarred)----1.29----1000----1000
AWP | 冥界之河 (崭新出厂)----AWP | Acheron (Factory New)----8.37----1000----1000
AWP | 冥界之河 (久经沙场)----AWP | Acheron (Field-Tested)----1.42----1000----1000
AWP | 冥界之河 (略有磨损)----AWP | Acheron (Minimal Wear)----4.07----1000----1000
AWP | 二西莫夫 (战痕累累)----AWP | Asiimov (Battle-Scarred)----490.9----1000----1000
AWP | 二西莫夫 (久经沙场)----AWP | Asiimov (Field-Tested)----859.0----1000----1000
AWP | 二西莫夫 (破损不堪)----AWP | Asiimov (Well-Worn)----622.0----773----773
AWP | 树蝰 (战痕累累)----AWP | Atheris (Battle-Scarred)----13.58----930----930
AWP | 树蝰 (崭新出厂)----AWP | Atheris (Factory New)----74.2----878----878
AWP | 树蝰 (久经沙场)----AWP | Atheris (Field-Tested)----18.69----1000----1000
AWP | 树蝰 (略有磨损)----AWP | Atheris (Minimal Wear)----34.47----1000----1000
AWP | 树蝰 (破损不堪)----AWP | Atheris (Well-Worn)----13.98----517----517
AWP | *嘣* (略有磨损)----AWP | BOOM (Minimal Wear)----643.0----803----803
AWP | 尼罗河沃土 (崭新出厂)----AWP | Black Nile (Factory New)----25.97----858----858
AWP | 尼罗河沃土 (久经沙场)----AWP | Black Nile (Field-Tested)----9.44----1000----1000
AWP | 尼罗河沃土 (略有磨损)----AWP | Black Nile (Minimal Wear)----14.78----926----926
AWP | 毛细血管 (略有磨损)----AWP | Capillary (Minimal Wear)----2.37----1000----1000
AWP | 迷人眼 (崭新出厂)----AWP | Chromatic Aberration (Factory New)----97.9----1000----1000
AWP | 迷人眼 (久经沙场)----AWP | Chromatic Aberration (Field-Tested)----39.86----1000----1000
AWP | 迷人眼 (略有磨损)----AWP | Chromatic Aberration (Minimal Wear)----60.0----1000----1000
AWP | 冲出重围 (久经沙场)----AWP | Containment Breach (Field-Tested)----522.48----571----571
AWP | 珊瑚树 (略有磨损)----AWP | Corticera (Minimal Wear)----78.0----1000----1000
AWP | 金粉肆蛇 (战痕累累)----AWP | Duality (Battle-Scarred)----9.27----701----701
AWP | 金粉肆蛇 (崭新出厂)----AWP | Duality (Factory New)----65.0----1000----1000
AWP | 金粉肆蛇 (久经沙场)----AWP | Duality (Field-Tested)----12.0----1000----1000
AWP | 金粉肆蛇 (略有磨损)----AWP | Duality (Minimal Wear)----30.0----1000----1000
AWP | 电子蜂巢 (崭新出厂)----AWP | Electric Hive (Factory New)----346.87----628----628
AWP | 电子蜂巢 (略有磨损)----AWP | Electric Hive (Minimal Wear)----227.5----574----574
AWP | 亡灵之主 (崭新出厂)----AWP | Exoskeleton (Factory New)----44.98----710----710
AWP | 亡灵之主 (久经沙场)----AWP | Exoskeleton (Field-Tested)----19.69----947----947
AWP | 亡灵之主 (略有磨损)----AWP | Exoskeleton (Minimal Wear)----25.6----1000----1000
AWP | 渐变之色 (崭新出厂)----AWP | Fade (Factory New)----6898.0----790----790
AWP | 浮生如梦 (崭新出厂)----AWP | Fever Dream (Factory New)----76.95----1000----1000
AWP | 浮生如梦 (久经沙场)----AWP | Fever Dream (Field-Tested)----60.8----590----590
AWP | 浮生如梦 (略有磨损)----AWP | Fever Dream (Minimal Wear)----63.0----1000----1000
AWP | 石墨黑 (崭新出厂)----AWP | Graphite (Factory New)----892.62----1000----1000
AWP | 暴怒野兽 (久经沙场)----AWP | Hyper Beast (Field-Tested)----168.0----639----639
AWP | 雷击 (崭新出厂)----AWP | Lightning Strike (Factory New)----3599.5----918----918
AWP | 无畏战神 (略有磨损)----AWP | Man-o'-war (Minimal Wear)----209.04----1000----1000
AWP | 死神 (崭新出厂)----AWP | Mortis (Factory New)----39.88----781----781
AWP | 死神 (久经沙场)----AWP | Mortis (Field-Tested)----10.6----1000----1000
AWP | 死神 (略有磨损)----AWP | Mortis (Minimal Wear)----17.84----1000----1000
AWP | 黑色魅影 (崭新出厂)----AWP | Neo-Noir (Factory New)----197.87----1000----1000
AWP | 黑色魅影 (久经沙场)----AWP | Neo-Noir (Field-Tested)----129.0----1000----1000
AWP | 黑色魅影 (略有磨损)----AWP | Neo-Noir (Minimal Wear)----157.19----1000----1000
AWP | 猫猫狗狗 (崭新出厂)----AWP | PAW (Factory New)----23.5----1000----1000
AWP | 猫猫狗狗 (久经沙场)----AWP | PAW (Field-Tested)----7.85----1000----1000
AWP | 猫猫狗狗 (略有磨损)----AWP | PAW (Minimal Wear)----14.0----1000----1000
AWP | 复古流行 (崭新出厂)----AWP | POP AWP (Factory New)----46.19----1000----1000
AWP | 复古流行 (略有磨损)----AWP | POP AWP (Minimal Wear)----32.6----1000----1000
AWP | 火卫一 (崭新出厂)----AWP | Phobos (Factory New)----11.09----1000----1000
AWP | 火卫一 (久经沙场)----AWP | Phobos (Field-Tested)----5.98----908----908
AWP | 火卫一 (略有磨损)----AWP | Phobos (Minimal Wear)----6.91----1000----1000
AWP | 响尾蛇 (久经沙场)----AWP | Pit Viper (Field-Tested)----1.04----1000----1000
AWP | 响尾蛇 (略有磨损)----AWP | Pit Viper (Minimal Wear)----2.82----1000----1000
AWP | 红线 (久经沙场)----AWP | Redline (Field-Tested)----263.88----1000----1000
AWP | 红线 (略有磨损)----AWP | Redline (Minimal Wear)----449.38----1000----1000
AWP | 狮子之日 (崭新出厂)----AWP | Sun in Leo (Factory New)----219.0----1000----1000
AWP | 狮子之日 (略有磨损)----AWP | Sun in Leo (Minimal Wear)----136.8----1000----1000
AWP | 野火 (久经沙场)----AWP | Wildfire (Field-Tested)----358.99----901----901
AWP | 野火 (略有磨损)----AWP | Wildfire (Minimal Wear)----542.0----1000----1000
AWP | 蠕虫之神 (崭新出厂)----AWP | Worm God (Factory New)----14.13----1000----1000
AWP | 蠕虫之神 (久经沙场)----AWP | Worm God (Field-Tested)----7.64----1000----1000
AWP | 蠕虫之神 (略有磨损)----AWP | Worm God (Minimal Wear)----9.19----1000----1000
2022年安特卫普锦标赛挑战组亲笔签名胶囊----Antwerp 2022 Challengers Autograph Capsule----1.9----1113----0
2022年安特卫普锦标赛冠军亲笔签名胶囊----Antwerp 2022 Champions Autograph Capsule----1.4----969----0
2022年安特卫普锦标赛竞争组亲笔签名胶囊----Antwerp 2022 Contenders Autograph Capsule----2.97----1054----0
2022年安特卫普锦标赛传奇组亲笔签名胶囊----Antwerp 2022 Legends Autograph Capsule----1.41----1197----0
阿努比斯收藏包----Anubis Collection Package----7.85----4167----0
2019年柏林锦标赛传奇组亲笔签名胶囊----Berlin 2019 Legends Autograph Capsule----5.2----865----0
残酷的达里尔（穷鬼）| 专业人士----Bloody Darryl The Strapped | The Professionals----134.0----622----622
反恐精英20周年武器箱----CS20 Case----3.29----1428----0
CZ75 | 战术高手 (崭新出厂)----CZ75-Auto | Tacticat (Factory New)----7.99----560----560
CZ75 | 战术高手 (久经沙场)----CZ75-Auto | Tacticat (Field-Tested)----2.25----541----541
CZ75 | 战术高手 (略有磨损)----CZ75-Auto | Tacticat (Minimal Wear)----4.26----585----585
CZ75 | 燕尾 (崭新出厂)----CZ75-Auto | Tuxedo (Factory New)----6.48----856----856
幻彩 2 号武器箱----Chroma 2 Case----15.6----621----0
幻彩 3 号武器箱----Chroma 3 Case----13.77----2001----0
命悬一线武器箱----Clutch Case----2.35----5333----0
指挥官黛维达·费尔南德斯（护目镜） | 海豹蛙人----Cmdr. Davida 'Goggles' Fernandez | SEAL Frogman----309.5----566----566
指挥官弗兰克·巴鲁德（湿袜） | 海豹蛙人----Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman----266.0----678----678
指挥官 梅 “极寒” 贾米森 | 特警----Cmdr. Mae 'Dead Cold' Jamison | SWAT----53.7----601----601
“头号特训”武器箱----Danger Zone Case----4.18----2493----0
沙漠之鹰 | 炽烈之炎 (崭新出厂)----Desert Eagle | Blaze (Factory New)----3995.0----979----979
沙漠之鹰 | 蓝色层压板 (崭新出厂)----Desert Eagle | Blue Ply (Factory New)----9.94----542----542
沙漠之鹰 | 蓝色层压板 (久经沙场)----Desert Eagle | Blue Ply (Field-Tested)----1.3----1000----1000
沙漠之鹰 | 蓝色层压板 (略有磨损)----Desert Eagle | Blue Ply (Minimal Wear)----2.84----1000----1000
沙漠之鹰 | 青铜装饰 (崭新出厂)----Desert Eagle | Bronze Deco (Factory New)----2.55----1000----1000
沙漠之鹰 | 青铜装饰 (略有磨损)----Desert Eagle | Bronze Deco (Minimal Wear)----1.35----1000----1000
沙漠之鹰 | 钴蓝禁锢 (崭新出厂)----Desert Eagle | Cobalt Disruption (Factory New)----556.0----794----794
沙漠之鹰 | 红色代号 (久经沙场)----Desert Eagle | Code Red (Field-Tested)----116.99----1000----1000
沙漠之鹰 | 红色代号 (略有磨损)----Desert Eagle | Code Red (Minimal Wear)----198.0----883----883
沙漠之鹰 | 阴谋者 (崭新出厂)----Desert Eagle | Conspiracy (Factory New)----59.19----1000----1000
沙漠之鹰 | 阴谋者 (略有磨损)----Desert Eagle | Conspiracy (Minimal Wear)----41.57----1000----1000
沙漠之鹰 | 科林斯遗产 (崭新出厂)----Desert Eagle | Corinthian (Factory New)----3.65----1000----1000
沙漠之鹰 | 科林斯遗产 (久经沙场)----Desert Eagle | Corinthian (Field-Tested)----1.6----976----976
沙漠之鹰 | 科林斯遗产 (略有磨损)----Desert Eagle | Corinthian (Minimal Wear)----2.13----807----807
沙漠之鹰 | 深红之网 (久经沙场)----Desert Eagle | Crimson Web (Field-Tested)----47.99----791----791
沙漠之鹰 | 深红之网 (略有磨损)----Desert Eagle | Crimson Web (Minimal Wear)----168.0----607----607
沙漠之鹰 | 指挥 (久经沙场)----Desert Eagle | Directive (Field-Tested)----2.59----1000----1000
沙漠之鹰 | 大佬龙 (久经沙场)----Desert Eagle | Kumicho Dragon (Field-Tested)----99.26----544----544
沙漠之鹰 | 轻轨 (崭新出厂)----Desert Eagle | Light Rail (Factory New)----21.78----756----756
沙漠之鹰 | 轻轨 (久经沙场)----Desert Eagle | Light Rail (Field-Tested)----4.0----1000----1000
沙漠之鹰 | 轻轨 (略有磨损)----Desert Eagle | Light Rail (Minimal Wear)----9.87----1000----1000
沙漠之鹰 | 机械工业 (崭新出厂)----Desert Eagle | Mecha Industries (Factory New)----53.8----1000----1000
沙漠之鹰 | 机械工业 (久经沙场)----Desert Eagle | Mecha Industries (Field-Tested)----25.16----1000----1000
沙漠之鹰 | 机械工业 (略有磨损)----Desert Eagle | Mecha Industries (Minimal Wear)----36.5----1000----1000
沙漠之鹰 | 陨星 (崭新出厂)----Desert Eagle | Meteorite (Factory New)----6.49----1000----1000
沙漠之鹰 | 陨星 (略有磨损)----Desert Eagle | Meteorite (Minimal Wear)----4.86----674----674
沙漠之鹰 | 纵横波涛 (久经沙场)----Desert Eagle | Ocean Drive (Field-Tested)----112.0----879----879
沙漠之鹰 | 锈蚀烈焰 (崭新出厂)----Desert Eagle | Oxide Blaze (Factory New)----3.88----1000----1000
沙漠之鹰 | 锈蚀烈焰 (久经沙场)----Desert Eagle | Oxide Blaze (Field-Tested)----1.49----1000----1000
沙漠之鹰 | 锈蚀烈焰 (略有磨损)----Desert Eagle | Oxide Blaze (Minimal Wear)----2.33----1000----1000
沙漠之鹰 | 人造卫星 (崭新出厂)----Desert Eagle | Sputnik (Factory New)----14.0----1000----1000
沙漠之鹰 | 人造卫星 (久经沙场)----Desert Eagle | Sputnik (Field-Tested)----6.8----556----556
沙漠之鹰 | 人造卫星 (略有磨损)----Desert Eagle | Sputnik (Minimal Wear)----9.5----689----689
沙漠之鹰 | 后发制人 (崭新出厂)----Desert Eagle | Trigger Discipline (Factory New)----18.52----1000----1000
沙漠之鹰 | 后发制人 (久经沙场)----Desert Eagle | Trigger Discipline (Field-Tested)----3.84----1000----1000
沙漠之鹰 | 后发制人 (略有磨损)----Desert Eagle | Trigger Discipline (Minimal Wear)----9.12----1000----1000
沙漠之鹰 | 后发制人 (破损不堪)----Desert Eagle | Trigger Discipline (Well-Worn)----2.63----621----621
沙漠之鹰 | 都市瓦砾 (崭新出厂)----Desert Eagle | Urban Rubble (Factory New)----2.94----890----890
沙漠之鹰 | 都市瓦砾 (久经沙场)----Desert Eagle | Urban Rubble (Field-Tested)----1.12----1000----1000
梦魇武器箱----Dreams & Nightmares Case----6.61----4188----0
双持贝瑞塔 | 钴蓝石英 (崭新出厂)----Dual Berettas | Cobalt Quartz (Factory New)----1.23----1000----1000
双持贝瑞塔 | 食人花 (久经沙场)----Dual Berettas | Flora Carnivora (Field-Tested)----2.69----1000----1000
双持贝瑞塔 | 食人花 (略有磨损)----Dual Berettas | Flora Carnivora (Minimal Wear)----4.98----949----949
双持贝瑞塔 | 瓜瓜 (久经沙场)----Dual Berettas | Melondrama (Field-Tested)----7.47----800----800
双持贝瑞塔 | 瓜瓜 (略有磨损)----Dual Berettas | Melondrama (Minimal Wear)----17.1----509----509
双持贝瑞塔 | 皇室伴侣 (略有磨损)----Dual Berettas | Royal Consorts (Minimal Wear)----4.59----516----516
精锐捕兽者索尔曼 | 游击队----Elite Trapper Solman | Guerrilla Warfare----109.5----695----695
法玛斯 | 纪念碑 (崭新出厂)----FAMAS | Commemoration (Factory New)----83.7----710----710
法玛斯 | 纪念碑 (久经沙场)----FAMAS | Commemoration (Field-Tested)----39.47----531----531
法玛斯 | 纪念碑 (略有磨损)----FAMAS | Commemoration (Minimal Wear)----49.54----750----750
法玛斯 | 机械工业 (崭新出厂)----FAMAS | Mecha Industries (Factory New)----42.8----606----606
法玛斯 | 机械工业 (久经沙场)----FAMAS | Mecha Industries (Field-Tested)----16.9----897----897
法玛斯 | 机械工业 (略有磨损)----FAMAS | Mecha Industries (Minimal Wear)----24.9----1000----1000
法玛斯 | 喵喵36 (崭新出厂)----FAMAS | Meow 36 (Factory New)----1.39----533----533
法玛斯 | 目皆转睛 (久经沙场)----FAMAS | Rapid Eye Movement (Field-Tested)----7.23----882----882
法玛斯 | 目皆转睛 (略有磨损)----FAMAS | Rapid Eye Movement (Minimal Wear)----17.0----524----524
法玛斯 | 防滚架 (久经沙场)----FAMAS | Roll Cage (Field-Tested)----12.7----951----951
法玛斯 | 防滚架 (略有磨损)----FAMAS | Roll Cage (Minimal Wear)----26.0----503----503
法玛斯 | ZX81 彩色 (久经沙场)----FAMAS | ZX Spectron (Field-Tested)----7.6----715----715
法玛斯 | ZX81 彩色 (略有磨损)----FAMAS | ZX Spectron (Minimal Wear)----14.78----549----549
FN57 | 怒氓 (久经沙场)----Five-SeveN | Angry Mob (Field-Tested)----16.8----772----772
FN57 | 表面淬火 (崭新出厂)----Five-SeveN | Case Hardened (Factory New)----110.0----651----651
FN57 | 表面淬火 (久经沙场)----Five-SeveN | Case Hardened (Field-Tested)----62.8----869----869
FN57 | 表面淬火 (略有磨损)----Five-SeveN | Case Hardened (Minimal Wear)----72.9----780----780
FN57 | 焰色反应 (崭新出厂)----Five-SeveN | Flame Test (Factory New)----1.1----730----730
FN57 | 神祗 (崭新出厂)----Five-SeveN | Kami (Factory New)----11.5----1000----1000
FN57 | 神祗 (略有磨损)----Five-SeveN | Kami (Minimal Wear)----8.08----661----661
FN57 | 耍猴把戏 (久经沙场)----Five-SeveN | Monkey Business (Field-Tested)----13.9----992----992
FN57 | 银白石英 (崭新出厂)----Five-SeveN | Silver Quartz (Factory New)----3.05----603----603
裂空武器箱----Fracture Case----1.38----10797----0
G3SG1 | 梦之林地 (久经沙场)----G3SG1 | Dream Glade (Field-Tested)----1.39----1000----1000
G3SG1 | 梦之林地 (略有磨损)----G3SG1 | Dream Glade (Minimal Wear)----2.97----600----600
加利尔 AR | 迷人眼 (久经沙场)----Galil AR | Chromatic Aberration (Field-Tested)----11.83----922----922
加利尔 AR | 迷人眼 (略有磨损)----Galil AR | Chromatic Aberration (Minimal Wear)----22.95----584----584
加利尔 AR | 冰核聚变 (崭新出厂)----Galil AR | Cold Fusion (Factory New)----1.54----1000----1000
加利尔 AR | 凤凰商号 (久经沙场)----Galil AR | Connexion (Field-Tested)----2.09----1000----1000
加利尔 AR | 凤凰商号 (略有磨损)----Galil AR | Connexion (Minimal Wear)----4.07----791----791
加利尔 AR | 毁灭者 (崭新出厂)----Galil AR | Destroyer (Factory New)----1.3----775----775
加利尔 AR | 经济 (久经沙场)----Galil AR | Eco (Field-Tested)----30.9----1000----1000
加利尔 AR | 火箭冰棒 (略有磨损)----Galil AR | Rocket Pop (Minimal Wear)----14.8----901----901
加利尔 AR | 燕尾 (崭新出厂)----Galil AR | Tuxedo (Factory New)----7.29----1000----1000
加利尔 AR | 燕尾 (久经沙场)----Galil AR | Tuxedo (Field-Tested)----2.38----1000----1000
加利尔 AR | 燕尾 (略有磨损)----Galil AR | Tuxedo (Minimal Wear)----4.91----1000----1000
伽玛 2 号武器箱----Gamma 2 Case----14.97----1629----0
伽玛武器箱----Gamma Case----15.06----1216----0
格洛克 18 型 | 子弹皇后 (久经沙场)----Glock-18 | Bullet Queen (Field-Tested)----34.69----1000----1000
格洛克 18 型 | 子弹皇后 (略有磨损)----Glock-18 | Bullet Queen (Minimal Wear)----74.78----768----768
格洛克 18 型 | 本生灯 (战痕累累)----Glock-18 | Bunsen Burner (Battle-Scarred)----1.4----938----938
格洛克 18 型 | 本生灯 (久经沙场)----Glock-18 | Bunsen Burner (Field-Tested)----1.69----536----536
格洛克 18 型 | 本生灯 (略有磨损)----Glock-18 | Bunsen Burner (Minimal Wear)----2.26----827----827
格洛克 18 型 | 红苹果 (崭新出厂)----Glock-18 | Candy Apple (Factory New)----3.35----1000----1000
格洛克 18 型 | 红苹果 (久经沙场)----Glock-18 | Candy Apple (Field-Tested)----1.5----610----610
